Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
146, 124, 168, 133, 168, 1, 2,		25, 225, 250, 228, 250, 2, 2,		9, 250, 255, 250, 255, 3, 2,		9, 250, 255, 250, 255, 4, 2,		123, 173, 193, 173, 178, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			155, 406, 417, 406, 417, 8, 1		
20, 149, 178, 168, 178, 1, 2,		106, 228, 259, 250, 259, 2, 2,		158, 248, 259, 255, 259, 3, 1,		137, 255, 260, 255, 259, 4, 2,		85, 193, 197, 193, 197, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			84, 417, 435, 417, 435, 8, 1		
123, 173, 193, 178, 193, 1, 2,		73, 259, 274, 260, 274, 2, 2,		16, 260, 270, 260, 270, 3, 2,		16, 260, 270, 260, 270, 4, 2,		104, 197, 225, 197, 225, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			122, 456, 470, 456, 470, 8, 1		
85, 193, 197, 193, 197, 1, 2,		138, 274, 282, 274, 282, 2, 2,		6, 270, 276, 270, 276, 3, 2,		6, 270, 276, 270, 274, 4, 2,		25, 225, 250, 225, 228, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			86, 485, 531, 485, 531, 8, 1		
53, 197, 200, 197, 200, 1, 1,		37, 281, 285, 282, 285, 2, 2,		40, 276, 281, 276, 281, 3, 2,		138, 274, 282, 274, 282, 4, 2,		106, 228, 259, 228, 259, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			62, 567, 573, 567, 573, 8, 2		
95, 200, 202, 200, 202, 1, 1,		63, 282, 287, 285, 287, 2, 2,		63, 282, 287, 282, 285, 3, 2,		63, 282, 287, 282, 285, 4, 2,		73, 259, 274, 259, 274, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 574, 589, 574, 589, 8, 2		
104, 197, 225, 202, 225, 1, 2,		55, 287, 307, 287, 307, 2, 2,		19, 286, 288, 286, 288, 3, 2,		19, 286, 288, 286, 288, 4, 2,		6, 270, 276, 274, 276, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
51, 225, 240, 225, 228, 1, 1,		4, 293, 315, 307, 315, 2, 2,		44, 288, 293, 288, 293, 3, 2,		44, 288, 293, 288, 293, 4, 2,		40, 276, 281, 276, 281, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
106, 228, 259, 228, 250, 1, 2,		119, 312, 342, 315, 342, 2, 2,		4, 293, 315, 293, 315, 3, 2,		125, 288, 308, 293, 308, 4, 1,		37, 281, 285, 281, 285, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
158, 248, 259, 250, 255, 1, 1,		103, 342, 360, 342, 360, 2, 2,		45, 315, 320, 315, 320, 3, 2,		68, 307, 312, 308, 312, 4, 2,		63, 282, 287, 285, 287, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
