Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
41, 46, 158, 104, 106, 1, 2,		43, 207, 259, 207, 215, 2, 1,		136, 187, 215, 187, 215, 3, 4,		0, 351, 397, 351, 397, 4, 2,		5, 259, 299, 259, 288, 5, 1,		34, 142, 155, 150, 155, 6, 1,		130, 106, 121, 106, 121, 7, 1,		134, 137, 142, 137, 142, 8, 1		
73, 100, 122, 106, 122, 1, 1,		89, 215, 288, 215, 288, 2, 4,		89, 215, 288, 215, 288, 3, 4,		38, 397, 429, 397, 429, 4, 4,		135, 288, 320, 288, 320, 5, 4,		109, 155, 157, 155, 157, 6, 1,		139, 121, 150, 121, 150, 7, 2,		34, 142, 155, 142, 150, 8, 1		
41, 46, 158, 122, 149, 1, 2,		135, 288, 320, 288, 320, 2, 4,		5, 259, 299, 288, 299, 3, 1,		150, 429, 433, 429, 433, 4, 1,		193, 320, 351, 320, 351, 5, 4,		76, 185, 191, 185, 191, 6, 2,		28, 150, 185, 150, 185, 7, 2,		28, 150, 185, 150, 185, 8, 2		
100, 149, 171, 149, 158, 1, 1,		193, 320, 351, 320, 351, 2, 4,		149, 299, 307, 299, 307, 3, 1,		84, 433, 438, 433, 438, 4, 1,		0, 351, 397, 351, 397, 5, 2,		91, 191, 217, 191, 217, 6, 2,		102, 217, 223, 217, 223, 7, 2,		76, 185, 191, 185, 191, 8, 2		
100, 149, 171, 159, 171, 1, 1,		125, 339, 363, 351, 363, 2, 1,		176, 307, 319, 307, 319, 3, 1,		47, 441, 461, 441, 461, 4, 2,		38, 397, 429, 397, 429, 5, 4,		102, 217, 223, 217, 223, 6, 2,		178, 223, 248, 223, 248, 7, 2,		91, 191, 217, 191, 217, 8, 2		
145, 171, 198, 171, 187, 1, 1,		24, 363, 369, 363, 369, 2, 1,		193, 320, 351, 320, 351, 3, 4,		95, 461, 586, 461, 586, 4, 2,		99, 429, 441, 429, 441, 5, 4,		42, 217, 227, 223, 227, 6, 1,		174, 248, 273, 248, 273, 7, 2,		42, 217, 227, 217, 223, 8, 1		
136, 187, 215, 187, 215, 1, 4,		71, 371, 385, 371, 384, 2, 1,		23, 351, 384, 351, 384, 3, 2,		170, 585, 613, 586, 613, 4, 2,		171, 441, 474, 441, 474, 5, 2,		174, 248, 273, 248, 273, 6, 2,		25, 273, 283, 273, 283, 7, 1,		178, 223, 248, 223, 248, 8, 2		
89, 215, 288, 215, 288, 1, 4,		44, 384, 395, 384, 395, 2, 2,		29, 385, 393, 385, 393, 3, 1,		191, 607, 615, 613, 615, 4, 1,		172, 474, 499, 474, 499, 5, 2,		180, 273, 285, 273, 285, 6, 2,		53, 309, 317, 309, 317, 7, 1,		180, 273, 285, 273, 285, 8, 2		
135, 288, 320, 288, 320, 1, 4,		30, 393, 397, 395, 397, 2, 1,		30, 393, 397, 393, 395, 3, 1,		159, 615, 617, 615, 617, 4, 1,		21, 532, 557, 532, 557, 5, 2,		51, 285, 309, 285, 309, 6, 2,		16, 309, 330, 317, 330, 7, 2,		51, 285, 309, 285, 309, 8, 2		
186, 319, 339, 320, 339, 1, 1,		38, 397, 429, 397, 429, 2, 4,		38, 397, 429, 397, 429, 3, 4,		12, 623, 627, 623, 627, 4, 1,		117, 557, 585, 557, 585, 5, 2,		16, 309, 330, 309, 330, 6, 2,		105, 330, 402, 330, 402, 7, 1,		16, 309, 330, 309, 317, 8, 2		
125, 339, 363, 339, 351, 1, 1,		99, 429, 441, 429, 441, 2, 4,		99, 429, 441, 429, 441, 3, 4,		20, 627, 633, 627, 633, 4, 1,		144, 586, 726, 586, 726, 5, 2,		115, 330, 334, 330, 334, 6, 2,		151, 402, 422, 402, 422, 7, 2,		74, 317, 325, 317, 325, 8, 1		
23, 351, 384, 351, 384, 1, 2,		47, 441, 461, 441, 461, 2, 2,		171, 441, 474, 441, 474, 3, 2,		169, 633, 661, 633, 640, 4, 1,		108, 726, 735, 726, 735, 5, 4,		173, 334, 358, 334, 358, 6, 2,		27, 422, 440, 422, 440, 7, 2,		115, 330, 334, 330, 334, 8, 2		
44, 384, 395, 384, 395, 1, 2,		95, 461, 586, 461, 474, 2, 2,		95, 461, 586, 474, 586, 3, 2,		75, 640, 646, 640, 646, 4, 2,		92, 735, 753, 735, 753, 5, 2,		137, 358, 394, 358, 394, 6, 1,		58, 501, 503, 501, 503, 7, 2,		173, 334, 358, 334, 358, 8, 2		
127, 397, 401, 397, 401, 1, 1,		172, 474, 499, 474, 499, 2, 2,		170, 585, 613, 586, 613, 3, 2,		143, 646, 671, 646, 671, 4, 2,		103, 753, 757, 753, 757, 5, 1,		194, 394, 402, 394, 402, 6, 2,		131, 501, 507, 503, 505, 7, 1,		68, 358, 364, 358, 364, 8, 1		
63, 401, 405, 401, 405, 1, 1,		199, 499, 510, 499, 510, 2, 2,		60, 613, 623, 613, 623, 3, 2,		2, 671, 677, 671, 677, 4, 2,		82, 756, 766, 757, 766, 5, 1,		1, 402, 414, 402, 414, 6, 1,		201, 514, 525, 514, 525, 7, 2,		69, 364, 380, 364, 380, 8, 1		
113, 405, 429, 405, 429, 1, 1,		202, 510, 532, 510, 532, 2, 2,		138, 623, 640, 623, 640, 3, 2,		119, 677, 690, 677, 690, 4, 2,		141, 766, 775, 766, 773, 5, 1,		151, 402, 422, 414, 422, 6, 2,		190, 530, 546, 530, 546, 7, 2,		194, 394, 402, 394, 402, 8, 2		
99, 429, 441, 429, 441, 1, 4,		21, 532, 557, 532, 557, 2, 2,		169, 633, 661, 640, 661, 3, 1,		120, 690, 694, 690, 694, 4, 2,		154, 773, 777, 773, 777, 5, 2,		27, 422, 440, 422, 440, 6, 2,		22, 546, 554, 546, 554, 7, 2,		151, 402, 422, 402, 414, 8, 2		
93, 441, 451, 441, 451, 1, 1,		117, 557, 585, 557, 585, 2, 2,		158, 661, 665, 661, 665, 3, 1,		142, 694, 712, 694, 712, 4, 2,		157, 777, 782, 777, 782, 5, 2,		116, 440, 501, 440, 501, 6, 2,		17, 554, 560, 554, 560, 7, 2,		177, 414, 422, 414, 422, 8, 1		
45, 451, 491, 451, 491, 1, 1,		50, 572, 588, 586, 588, 2, 1,		2, 671, 677, 671, 677, 3, 2,		203, 712, 723, 712, 723, 4, 2,		152, 782, 785, 782, 785, 5, 2,		58, 501, 503, 501, 503, 6, 2,		62, 560, 564, 560, 564, 7, 1,		116, 440, 501, 440, 501, 8, 2		
185, 491, 571, 491, 571, 1, 1,		7, 588, 600, 588, 600, 2, 1,		119, 677, 690, 677, 690, 3, 2,		108, 726, 735, 726, 735, 4, 4,		77, 777, 789, 785, 787, 5, 1,		35, 503, 505, 503, 505, 6, 1,		49, 582, 602, 582, 602, 7, 1,		131, 501, 507, 501, 503, 8, 1		
50, 572, 588, 572, 585, 1, 1,		129, 600, 607, 600, 607, 2, 1,		168, 677, 692, 690, 692, 3, 1,		94, 735, 765, 735, 765, 4, 2,		66, 787, 791, 787, 789, 5, 1,		131, 501, 507, 505, 507, 6, 1,		200, 602, 616, 602, 616, 7, 1,		78, 510, 514, 510, 514, 8, 2		
