Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
89, 214, 287, 214, 287, 1, 4,		127, 396, 400, 396, 400, 2, 1,		135, 287, 319, 287, 319, 3, 4,		138, 440, 457, 440, 457, 4, 2,		99, 428, 440, 428, 440, 5, 4,		88, 202, 233, 202, 233, 6, 2,		42, 196, 206, 196, 206, 7, 1,		178, 233, 258, 233, 258, 8, 2		
126, 285, 294, 287, 294, 1, 1,		63, 400, 404, 400, 404, 2, 1,		193, 319, 350, 319, 350, 3, 4,		47, 457, 477, 457, 477, 4, 2,		171, 440, 473, 440, 473, 5, 2,		134, 233, 238, 233, 238, 6, 1,		178, 233, 258, 233, 258, 7, 2,		180, 283, 295, 283, 295, 8, 2		
149, 294, 302, 294, 302, 1, 1,		113, 404, 428, 404, 428, 2, 1,		0, 350, 396, 350, 396, 3, 2,		95, 477, 602, 477, 498, 4, 2,		172, 473, 498, 473, 498, 5, 2,		174, 258, 283, 258, 283, 6, 2,		174, 258, 283, 258, 283, 7, 2,		53, 319, 327, 319, 327, 8, 1		
176, 302, 314, 302, 314, 1, 1,		99, 428, 440, 428, 440, 2, 4,		38, 396, 428, 396, 428, 3, 4,		117, 523, 551, 523, 551, 4, 2,		95, 477, 602, 498, 602, 5, 2,		25, 283, 293, 283, 293, 6, 1,		180, 283, 295, 283, 295, 7, 2,		16, 319, 340, 327, 340, 8, 2		
132, 314, 321, 314, 319, 1, 1,		171, 440, 473, 440, 473, 2, 2,		99, 428, 440, 428, 440, 3, 4,		60, 551, 561, 551, 561, 4, 2,		202, 589, 611, 602, 611, 5, 2,		51, 295, 319, 295, 319, 6, 2,		51, 295, 319, 295, 319, 7, 2,		115, 340, 344, 340, 344, 8, 2		
193, 319, 350, 319, 350, 1, 4,		45, 450, 490, 473, 477, 2, 1,		93, 440, 450, 440, 450, 3, 1,		170, 561, 589, 561, 589, 4, 2,		142, 611, 629, 612, 629, 5, 2,		16, 319, 340, 319, 340, 6, 2,		16, 319, 340, 319, 327, 7, 2,		173, 344, 368, 344, 368, 8, 2		
23, 350, 383, 350, 383, 1, 2,		95, 477, 602, 477, 498, 2, 2,		172, 473, 498, 473, 498, 3, 2,		202, 589, 611, 589, 602, 4, 2,		175, 629, 631, 629, 631, 5, 2,		105, 340, 412, 340, 344, 6, 1,		74, 327, 335, 327, 335, 7, 1,		78, 371, 375, 371, 375, 8, 2		
75, 383, 389, 383, 389, 1, 2,		21, 498, 523, 498, 523, 2, 2,		95, 477, 602, 498, 602, 3, 2,		144, 602, 742, 602, 742, 4, 2,		143, 631, 656, 631, 656, 5, 2,		173, 344, 368, 344, 368, 6, 2,		115, 340, 344, 340, 344, 7, 2,		8, 375, 391, 375, 391, 8, 1		
2, 389, 395, 389, 391, 1, 2,		185, 490, 570, 523, 551, 2, 1,		202, 589, 611, 602, 611, 3, 2,		103, 743, 747, 743, 747, 4, 1,		92, 656, 674, 656, 674, 5, 2,		105, 340, 412, 371, 375, 6, 1,		105, 340, 412, 344, 371, 7, 1,		190, 391, 407, 391, 407, 8, 2		
38, 396, 428, 396, 428, 1, 4,		60, 551, 561, 551, 561, 2, 2,		142, 611, 629, 611, 629, 3, 2,		152, 747, 750, 747, 750, 4, 2,		15, 674, 677, 674, 677, 5, 2,		68, 375, 381, 375, 381, 6, 1,		78, 371, 375, 371, 375, 7, 2,		105, 340, 412, 407, 412, 8, 1		
150, 428, 432, 428, 432, 1, 1,		170, 561, 589, 561, 570, 2, 2,		175, 629, 631, 629, 631, 3, 2,		3, 750, 752, 750, 752, 4, 2,		125, 669, 693, 677, 693, 5, 1,		105, 340, 412, 391, 407, 6, 1,		105, 340, 412, 375, 391, 7, 1,		69, 407, 423, 412, 423, 8, 1		
138, 440, 457, 440, 450, 1, 2,		158, 570, 574, 570, 574, 2, 1,		143, 631, 656, 631, 656, 3, 2,		85, 752, 754, 752, 754, 4, 2,		181, 681, 705, 693, 701, 5, 1,		69, 407, 423, 407, 412, 6, 1,		190, 391, 407, 391, 407, 7, 2,		151, 423, 443, 423, 443, 8, 2		
45, 450, 490, 450, 473, 1, 1,		12, 574, 578, 574, 578, 2, 1,		92, 656, 674, 656, 674, 3, 2,		81, 755, 760, 755, 760, 4, 1,		71, 701, 715, 701, 715, 5, 1,		48, 415, 429, 415, 429, 6, 1,		55, 407, 415, 407, 415, 7, 1,		27, 443, 461, 443, 461, 8, 2		
47, 457, 477, 473, 477, 1, 2,		20, 578, 584, 578, 584, 2, 1,		15, 674, 677, 674, 677, 3, 2,		82, 760, 770, 760, 770, 4, 1,		119, 715, 728, 715, 728, 5, 2,		151, 423, 443, 429, 443, 6, 2,		151, 423, 443, 423, 429, 7, 2,		1, 461, 473, 461, 463, 8, 1		
