Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
9, 0, 21, 0, 21, 1, 2,		9, 0, 21, 0, 21, 2, 2,		28, 0, 18, 0, 18, 3, 2,		28, 0, 18, 0, 18, 4, 2,		32, 0, 70, 0, 70, 5, 1,		37, 0, 2, 0, 2, 6, 1,		57, 0, 10, 0, 10, 7, 2,		57, 0, 10, 0, 10, 8, 2		
64, 21, 43, 21, 43, 1, 2,		64, 21, 43, 21, 43, 2, 2,		88, 19, 43, 19, 43, 3, 2,		88, 19, 43, 19, 43, 4, 2,		15, 70, 76, 70, 72, 5, 1,		65, 2, 11, 2, 11, 6, 1,		63, 10, 16, 10, 16, 7, 2,		63, 10, 16, 10, 16, 8, 2		
10, 43, 59, 43, 45, 1, 2,		10, 43, 59, 43, 45, 2, 2,		6, 43, 45, 43, 45, 3, 2,		6, 43, 45, 43, 45, 4, 2,		7, 66, 76, 72, 76, 5, 2,		30, 11, 16, 11, 16, 6, 1,		62, 16, 24, 16, 18, 7, 1,		62, 16, 24, 18, 24, 8, 1		
18, 45, 49, 45, 49, 1, 2,		18, 45, 49, 45, 49, 2, 2,		10, 43, 59, 45, 59, 3, 2,		10, 43, 59, 45, 59, 4, 2,		89, 76, 78, 76, 78, 5, 2,		24, 18, 24, 18, 24, 6, 2,		24, 18, 24, 18, 24, 7, 2,		26, 24, 54, 24, 54, 8, 2		
16, 49, 51, 49, 51, 1, 2,		16, 49, 51, 49, 51, 2, 2,		7, 66, 76, 66, 72, 3, 2,		34, 59, 66, 59, 66, 4, 2,		79, 78, 84, 78, 84, 5, 2,		26, 24, 54, 24, 54, 6, 2,		66, 24, 26, 24, 26, 7, 1,		59, 170, 199, 170, 199, 8, 2		
84, 51, 53, 51, 53, 1, 2,		84, 51, 53, 51, 53, 2, 2,		29, 72, 87, 72, 87, 3, 2,		7, 66, 76, 66, 72, 4, 2,		1, 96, 114, 96, 114, 5, 2,		25, 54, 169, 54, 169, 6, 2,		38, 26, 30, 26, 30, 7, 1,		22, 200, 215, 200, 215, 8, 2		
31, 54, 72, 54, 59, 1, 2,		31, 54, 72, 54, 72, 2, 2,		51, 87, 89, 87, 89, 3, 2,		29, 72, 87, 72, 87, 4, 2,		67, 192, 216, 192, 216, 5, 2,		54, 216, 222, 216, 222, 6, 2,		25, 54, 169, 54, 169, 7, 2,		54, 216, 222, 216, 222, 8, 2		
34, 59, 66, 59, 66, 1, 2,		7, 66, 76, 72, 76, 2, 2,		33, 89, 99, 89, 96, 3, 2,		51, 87, 89, 87, 89, 4, 2,		60, 242, 254, 250, 254, 5, 2,		8, 222, 242, 222, 242, 6, 2,		59, 170, 199, 170, 199, 7, 2,		8, 222, 242, 222, 242, 8, 2		
31, 54, 72, 66, 72, 1, 2,		89, 76, 78, 76, 78, 2, 2,		1, 96, 114, 96, 114, 3, 2,		33, 89, 99, 89, 99, 4, 2,		50, 278, 280, 278, 280, 5, 2,		78, 250, 260, 250, 260, 6, 2,		22, 200, 215, 200, 215, 7, 2,		77, 242, 250, 242, 250, 8, 2		
15, 70, 76, 72, 76, 1, 1,		13, 76, 88, 78, 87, 2, 1,		27, 114, 119, 114, 119, 3, 2,		17, 99, 109, 99, 109, 4, 2,		4, 281, 283, 281, 283, 5, 2,		3, 280, 281, 280, 283, 6, 2,		77, 242, 250, 242, 250, 7, 2,		78, 250, 260, 250, 260, 8, 2		
