Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
195, 0, 8, 0, 8, 1, 1,		164, 0, 4, 0, 4, 2, 1,		162, 0, 18, 0, 18, 3, 1,		14, 0, 36, 0, 36, 4, 2,		14, 0, 36, 0, 36, 5, 2,		140, 0, 16, 0, 16, 6, 1,		39, 0, 11, 0, 11, 7, 2,		39, 0, 11, 0, 11, 8, 2		
72, 8, 38, 8, 38, 1, 2,		31, 4, 8, 4, 8, 2, 1,		72, 8, 38, 36, 38, 3, 2,		122, 36, 61, 36, 38, 4, 2,		122, 36, 61, 36, 61, 5, 2,		13, 11, 20, 16, 20, 6, 1,		197, 16, 34, 16, 34, 7, 2,		13, 11, 20, 11, 16, 8, 1		
122, 36, 61, 38, 40, 1, 2,		72, 8, 38, 8, 18, 2, 2,		104, 38, 73, 38, 73, 3, 2,		104, 38, 73, 38, 40, 4, 2,		23, 61, 94, 61, 73, 5, 2,		9, 20, 45, 20, 34, 6, 1,		165, 34, 41, 34, 41, 7, 2,		197, 16, 34, 16, 34, 8, 2		
112, 40, 49, 40, 49, 1, 1,		73, 18, 40, 18, 40, 2, 1,		23, 61, 94, 73, 75, 3, 2,		122, 36, 61, 40, 61, 4, 2,		182, 73, 83, 73, 75, 5, 1,		165, 34, 41, 34, 41, 6, 2,		61, 43, 67, 43, 67, 7, 2,		9, 20, 45, 34, 45, 8, 1		
166, 49, 56, 49, 56, 1, 1,		104, 38, 73, 40, 73, 2, 2,		90, 75, 77, 75, 77, 3, 2,		23, 61, 94, 61, 94, 4, 2,		23, 61, 94, 75, 77, 5, 2,		61, 43, 67, 43, 67, 6, 2,		76, 70, 76, 70, 76, 7, 2,		111, 45, 57, 45, 57, 8, 1		
40, 56, 59, 56, 59, 1, 1,		132, 68, 75, 73, 75, 2, 1,		23, 61, 94, 77, 94, 3, 2,		83, 83, 128, 94, 127, 4, 1,		182, 73, 83, 77, 83, 5, 1,		11, 67, 70, 67, 70, 6, 2,		102, 76, 82, 76, 82, 7, 2,		153, 57, 67, 57, 67, 8, 1		
126, 59, 68, 59, 68, 1, 1,		182, 73, 83, 75, 77, 2, 1,		171, 94, 127, 94, 127, 3, 2,		172, 127, 152, 127, 152, 4, 2,		83, 83, 128, 83, 94, 5, 1,		86, 70, 75, 70, 75, 6, 1,		123, 82, 92, 82, 92, 7, 2,		11, 67, 70, 67, 70, 8, 2		
132, 68, 75, 68, 73, 1, 1,		41, 77, 189, 77, 189, 2, 2,		100, 128, 150, 128, 150, 3, 1,		21, 152, 177, 152, 177, 4, 2,		171, 94, 127, 94, 127, 5, 2,		10, 75, 91, 75, 91, 6, 1,		130, 91, 106, 92, 106, 7, 1,		76, 70, 76, 70, 76, 8, 2		
90, 75, 77, 75, 77, 1, 2,		179, 190, 199, 190, 199, 2, 1,		21, 152, 177, 152, 177, 3, 2,		18, 177, 181, 177, 181, 4, 2,		172, 127, 152, 127, 152, 5, 2,		139, 92, 121, 92, 121, 6, 2,		133, 106, 119, 106, 119, 7, 1,		102, 76, 82, 76, 82, 8, 2		
41, 77, 189, 77, 150, 1, 2,		44, 200, 222, 200, 217, 2, 1,		18, 177, 181, 177, 181, 3, 2,		167, 181, 183, 181, 183, 4, 1,		26, 183, 185, 183, 185, 5, 1,		180, 121, 133, 121, 133, 6, 2,		161, 119, 135, 119, 121, 7, 1,		123, 82, 92, 82, 92, 8, 2		
