Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
23, 394, 427, 404, 427, 1, 2,		20, 647, 653, 647, 653, 2, 1,		113, 539, 563, 539, 563, 3, 1,		2, 738, 744, 738, 744, 4, 2,		120, 763, 767, 763, 767, 5, 2,		116, 404, 465, 404, 412, 6, 2,		116, 404, 465, 412, 465, 7, 2,		62, 512, 516, 512, 516, 8, 1		
171, 427, 460, 427, 460, 1, 2,		159, 653, 655, 653, 655, 2, 1,		117, 556, 584, 563, 584, 3, 2,		15, 744, 747, 744, 747, 4, 2,		181, 759, 783, 767, 771, 5, 1,		69, 412, 428, 412, 428, 6, 1,		58, 465, 467, 465, 467, 7, 2,		49, 560, 580, 560, 580, 8, 1		
172, 460, 485, 460, 485, 1, 2,		150, 655, 659, 655, 659, 2, 1,		170, 584, 612, 584, 612, 3, 2,		168, 744, 759, 748, 751, 4, 1,		183, 771, 775, 771, 775, 5, 1,		1, 428, 440, 428, 440, 6, 1,		35, 467, 469, 467, 469, 7, 1,		97, 608, 622, 608, 622, 8, 2		
199, 466, 488, 485, 488, 1, 1,		82, 675, 685, 675, 679, 2, 1,		185, 563, 643, 612, 622, 3, 1,		181, 759, 783, 759, 767, 4, 1,		181, 759, 783, 775, 779, 5, 1,		74, 440, 448, 440, 448, 6, 1,		201, 469, 480, 469, 480, 7, 2,		148, 622, 628, 622, 628, 8, 2		
7, 488, 500, 488, 500, 1, 1,		92, 679, 697, 679, 697, 2, 2,		142, 622, 640, 622, 640, 3, 2,		81, 767, 777, 767, 771, 4, 1,		19, 779, 781, 779, 781, 5, 2,		177, 448, 456, 448, 456, 6, 1,		194, 480, 488, 480, 488, 7, 2,		54, 634, 644, 634, 644, 8, 2		
129, 500, 507, 500, 507, 1, 1,		138, 697, 714, 697, 714, 2, 2,		202, 640, 662, 640, 662, 3, 2,		181, 759, 783, 771, 775, 4, 1,		64, 781, 783, 781, 783, 5, 1,		58, 465, 467, 465, 467, 6, 2,		78, 488, 492, 488, 492, 7, 2,		33, 644, 664, 644, 664, 8, 2		
191, 507, 515, 507, 515, 1, 1,		175, 714, 716, 714, 716, 2, 2,		143, 674, 699, 674, 679, 3, 2,		81, 767, 777, 775, 777, 4, 1,		52, 784, 787, 784, 787, 5, 2,		201, 469, 480, 469, 471, 6, 2,		70, 484, 494, 492, 494, 7, 1,		110, 688, 702, 688, 702, 8, 2		
50, 515, 531, 515, 531, 1, 1,		119, 716, 729, 716, 729, 2, 2,		92, 679, 697, 679, 697, 3, 2,		19, 779, 781, 779, 781, 4, 2,		101, 785, 803, 787, 803, 5, 1,		46, 480, 482, 480, 482, 6, 1,		22, 494, 502, 494, 502, 7, 2,		118, 690, 732, 702, 732, 8, 1		
127, 531, 535, 531, 535, 1, 1,		75, 729, 735, 729, 733, 2, 2,		138, 697, 714, 697, 699, 3, 2,		181, 759, 783, 781, 783, 4, 1,		187, 798, 809, 803, 809, 5, 2,		121, 482, 484, 482, 484, 6, 1,		17, 502, 508, 502, 508, 7, 2,		80, 732, 740, 732, 740, 8, 2		
21, 531, 556, 535, 539, 1, 2,		203, 733, 744, 733, 744, 2, 2,		94, 699, 729, 699, 714, 3, 1,		85, 783, 785, 783, 785, 4, 2,		0, 0, 0, 0, 0, 0, 0,			70, 484, 494, 484, 492, 6, 1,		190, 508, 524, 508, 524, 7, 2,		188, 740, 744, 740, 744, 8, 1		
144, 539, 679, 539, 679, 1, 2,		15, 744, 747, 744, 747, 2, 2,		175, 714, 716, 714, 716, 3, 2,		163, 785, 788, 785, 788, 4, 1,		0, 0, 0, 0, 0, 0, 0,			8, 492, 508, 492, 508, 6, 1,		97, 608, 622, 608, 622, 7, 2,		0, 0, 0, 0, 0, 0, 0			
82, 675, 685, 679, 685, 1, 1,		152, 748, 751, 748, 751, 2, 2,		158, 726, 730, 726, 729, 3, 1,		157, 788, 798, 788, 793, 4, 1,		0, 0, 0, 0, 0, 0, 0,			190, 508, 524, 508, 524, 6, 2,		148, 622, 628, 622, 628, 7, 2,		0, 0, 0, 0, 0, 0, 0			
198, 685, 715, 685, 699, 1, 1,		168, 744, 759, 751, 759, 2, 1,		141, 729, 738, 729, 738, 3, 1,		155, 793, 795, 793, 795, 4, 1,		0, 0, 0, 0, 0, 0, 0,			55, 524, 532, 524, 532, 6, 1,		6, 628, 634, 628, 634, 7, 2,		0, 0, 0, 0, 0, 0, 0			
79, 716, 726, 716, 726, 1, 1,		156, 767, 771, 767, 771, 2, 1,		169, 735, 763, 738, 748, 3, 1,		192, 795, 797, 795, 797, 4, 1,		0, 0, 0, 0, 0, 0, 0,			48, 532, 546, 532, 546, 6, 1,		54, 634, 644, 634, 644, 7, 2,		0, 0, 0, 0, 0, 0, 0			
158, 726, 730, 729, 733, 1, 1,		81, 767, 777, 771, 775, 2, 1,		152, 748, 751, 748, 751, 3, 2,		187, 798, 809, 798, 803, 4, 2,		0, 0, 0, 0, 0, 0, 0,			98, 546, 560, 546, 560, 6, 1,		33, 644, 664, 644, 664, 7, 2,		0, 0, 0, 0, 0, 0, 0			
75, 729, 735, 733, 735, 1, 2,		66, 775, 779, 775, 779, 2, 1,		4, 753, 759, 753, 759, 3, 1,		37, 803, 807, 803, 807, 4, 2,		0, 0, 0, 0, 0, 0, 0,			200, 580, 594, 580, 594, 6, 1,		107, 664, 688, 664, 688, 7, 2,		0, 0, 0, 0, 0, 0, 0			
2, 738, 744, 738, 744, 1, 2,		114, 781, 784, 781, 784, 2, 2,		56, 759, 763, 759, 763, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			146, 594, 608, 594, 608, 6, 1,		32, 688, 690, 688, 690, 7, 1,		0, 0, 0, 0, 0, 0, 0			
168, 744, 759, 744, 747, 1, 1,		101, 785, 803, 785, 787, 2, 1,		120, 763, 767, 763, 767, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			6, 628, 634, 628, 634, 6, 2,		118, 690, 732, 690, 702, 7, 1,		0, 0, 0, 0, 0, 0, 0			
106, 751, 783, 751, 783, 1, 1,		3, 787, 789, 787, 789, 2, 2,		181, 759, 783, 779, 781, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			107, 664, 688, 664, 688, 6, 2,		87, 702, 714, 702, 714, 7, 2,		0, 0, 0, 0, 0, 0, 0			
85, 783, 785, 783, 785, 1, 2,		154, 789, 793, 789, 793, 2, 2,		114, 781, 784, 781, 784, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			110, 688, 702, 688, 702, 6, 2,		160, 714, 726, 714, 726, 7, 2,		0, 0, 0, 0, 0, 0, 0			
37, 803, 807, 803, 805, 1, 2,		157, 788, 798, 793, 798, 2, 1,		52, 784, 787, 784, 787, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			87, 702, 714, 702, 714, 6, 2,		57, 726, 732, 726, 732, 7, 1,		0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			187, 798, 809, 798, 805, 2, 2,		3, 787, 789, 787, 789, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			160, 714, 726, 714, 726, 6, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			37, 803, 807, 805, 807, 2, 2,		154, 789, 793, 789, 793, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			80, 732, 740, 732, 740, 6, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			36, 807, 809, 807, 809, 2, 1,		77, 793, 805, 793, 805, 3, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			187, 798, 809, 805, 809, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
