Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
122, 0, 25, 0, 25, 1, 2,		14, 0, 36, 0, 36, 2, 2,		83, 0, 45, 0, 45, 3, 1,		122, 0, 25, 0, 25, 4, 2,		72, 25, 55, 25, 36, 5, 2,		13, 0, 9, 0, 9, 6, 1,		39, 0, 11, 0, 11, 7, 2,		39, 0, 11, 0, 11, 8, 2		
72, 25, 55, 25, 45, 1, 2,		72, 25, 55, 36, 55, 2, 2,		72, 25, 55, 45, 55, 3, 2,		195, 36, 44, 36, 40, 4, 1,		164, 36, 40, 36, 40, 5, 1,		140, 9, 25, 9, 11, 6, 1,		123, 11, 21, 11, 21, 7, 2,		140, 9, 25, 11, 25, 8, 1		
162, 45, 63, 45, 63, 1, 1,		104, 55, 90, 55, 90, 2, 2,		104, 55, 90, 55, 90, 3, 2,		31, 40, 44, 40, 44, 4, 1,		195, 36, 44, 40, 44, 5, 1,		123, 11, 21, 11, 21, 6, 2,		111, 21, 33, 21, 25, 7, 1,		111, 21, 33, 25, 33, 8, 1		
112, 63, 72, 63, 72, 1, 1,		182, 90, 100, 90, 100, 2, 1,		43, 82, 134, 90, 100, 3, 1,		90, 44, 46, 44, 46, 4, 2,		90, 44, 46, 44, 46, 5, 2,		153, 21, 31, 21, 31, 6, 1,		11, 36, 39, 36, 39, 7, 2,		86, 39, 44, 39, 44, 8, 1		
166, 72, 79, 72, 79, 1, 1,		43, 82, 134, 100, 134, 2, 1,		128, 100, 153, 100, 153, 3, 2,		41, 46, 158, 46, 158, 4, 2,		41, 46, 158, 46, 158, 5, 2,		11, 36, 39, 36, 39, 6, 2,		88, 39, 70, 39, 70, 7, 2,		88, 39, 70, 44, 70, 8, 2		
40, 79, 82, 79, 82, 1, 1,		73, 134, 156, 134, 156, 2, 1,		18, 153, 157, 153, 157, 3, 2,		196, 158, 186, 158, 186, 4, 4,		196, 158, 186, 158, 186, 5, 4,		88, 39, 70, 39, 44, 6, 2,		197, 70, 88, 70, 88, 7, 2,		130, 69, 84, 70, 84, 8, 1		
43, 82, 134, 82, 90, 1, 1,		96, 156, 183, 156, 158, 2, 1,		196, 158, 186, 158, 186, 3, 4,		100, 183, 205, 186, 205, 4, 1,		136, 186, 214, 186, 214, 5, 4,		9, 44, 69, 44, 69, 6, 1,		165, 88, 95, 88, 95, 7, 2,		59, 84, 92, 84, 92, 8, 1		
126, 90, 99, 90, 99, 1, 1,		196, 158, 186, 158, 186, 2, 4,		136, 186, 214, 186, 214, 3, 4,		145, 205, 232, 205, 214, 4, 1,		89, 214, 287, 214, 287, 5, 4,		197, 70, 88, 70, 88, 6, 2,		10, 92, 108, 97, 108, 7, 1,		10, 92, 108, 92, 95, 8, 1		
128, 100, 153, 100, 153, 1, 2,		136, 186, 214, 186, 214, 2, 4,		145, 205, 232, 214, 232, 3, 1,		89, 214, 287, 214, 287, 4, 4,		135, 287, 319, 287, 319, 5, 4,		165, 88, 95, 88, 95, 6, 2,		133, 108, 121, 108, 121, 7, 1,		61, 97, 121, 97, 121, 8, 2		
18, 153, 157, 153, 157, 1, 2,		89, 214, 287, 214, 287, 2, 4,		167, 232, 234, 232, 234, 3, 1,		135, 287, 319, 287, 319, 4, 4,		193, 319, 350, 319, 350, 5, 4,		10, 92, 108, 95, 97, 6, 1,		139, 121, 150, 121, 150, 7, 2,		139, 121, 150, 121, 150, 8, 2		
96, 156, 183, 158, 183, 1, 1,		135, 287, 319, 287, 319, 2, 4,		179, 234, 243, 234, 243, 3, 1,		193, 319, 350, 319, 350, 4, 4,		125, 339, 363, 350, 363, 5, 1,		61, 97, 121, 97, 121, 6, 2,		28, 150, 185, 150, 185, 7, 2,		109, 150, 152, 150, 152, 8, 1		
100, 183, 205, 183, 186, 1, 1,		44, 317, 339, 319, 339, 2, 1,		149, 243, 251, 243, 251, 3, 1,		23, 350, 383, 350, 383, 4, 2,		24, 363, 369, 363, 369, 5, 1,		161, 121, 137, 121, 137, 6, 1,		76, 185, 191, 185, 191, 7, 2,		134, 152, 157, 152, 157, 8, 1		
136, 186, 214, 186, 214, 1, 4,		125, 339, 363, 339, 350, 2, 1,		135, 287, 319, 287, 319, 3, 4,		75, 383, 389, 383, 389, 4, 2,		186, 369, 389, 369, 389, 5, 1,		34, 137, 150, 137, 150, 6, 1,		102, 217, 223, 217, 223, 7, 2,		76, 185, 191, 185, 191, 8, 2		
89, 214, 287, 214, 251, 1, 4,		0, 350, 396, 350, 396, 2, 2,		193, 319, 350, 319, 350, 3, 4,		38, 396, 428, 396, 428, 4, 4,		2, 389, 395, 389, 395, 5, 2,		28, 150, 185, 150, 185, 6, 2,		178, 223, 248, 223, 248, 7, 2,		91, 191, 217, 191, 217, 8, 2		
26, 251, 253, 251, 253, 1, 1,		127, 396, 400, 396, 400, 2, 1,		0, 350, 396, 350, 396, 3, 2,		99, 428, 440, 428, 440, 4, 4,		38, 396, 428, 396, 428, 5, 4,		91, 191, 217, 191, 217, 6, 2,		174, 248, 273, 248, 273, 7, 2,		102, 217, 223, 217, 223, 8, 2		
5, 253, 293, 253, 293, 1, 1,		63, 400, 404, 400, 404, 2, 1,		38, 396, 428, 396, 428, 3, 4,		138, 450, 467, 450, 467, 4, 2,		99, 428, 440, 428, 440, 5, 4,		42, 217, 227, 217, 223, 6, 1,		25, 273, 283, 273, 283, 7, 1,		42, 217, 227, 223, 227, 8, 1		
176, 293, 305, 293, 305, 1, 1,		113, 404, 428, 404, 428, 2, 1,		99, 428, 440, 428, 440, 3, 4,		47, 467, 487, 467, 487, 4, 2,		171, 440, 473, 440, 473, 5, 2,		178, 223, 248, 223, 248, 6, 2,		51, 285, 309, 285, 309, 7, 2,		174, 248, 273, 248, 273, 8, 2		
84, 305, 310, 305, 310, 1, 1,		99, 428, 440, 428, 440, 2, 4,		93, 440, 450, 440, 450, 3, 1,		95, 487, 612, 487, 498, 4, 2,		172, 473, 498, 473, 498, 5, 2,		180, 273, 285, 273, 285, 6, 2,		16, 309, 330, 309, 330, 7, 2,		180, 273, 285, 273, 285, 8, 2		
132, 310, 317, 310, 317, 1, 1,		171, 440, 473, 440, 473, 2, 2,		45, 454, 494, 454, 467, 3, 1,		21, 498, 523, 498, 523, 4, 2,		95, 487, 612, 498, 612, 5, 2,		51, 285, 309, 285, 309, 6, 2,		115, 330, 334, 330, 334, 7, 2,		53, 309, 317, 309, 317, 8, 1		
44, 317, 339, 317, 319, 1, 1,		47, 467, 487, 473, 487, 2, 2,		47, 467, 487, 467, 473, 3, 2,		92, 523, 541, 523, 541, 4, 2,		119, 611, 624, 612, 624, 5, 2,		16, 309, 330, 309, 317, 6, 2,		173, 334, 358, 334, 358, 7, 2,		16, 309, 330, 317, 330, 8, 2		
193, 319, 350, 319, 350, 1, 4,		45, 454, 494, 487, 494, 2, 1,		172, 473, 498, 473, 498, 3, 2,		170, 569, 597, 569, 597, 4, 2,		143, 624, 649, 624, 649, 5, 2,		74, 317, 325, 317, 325, 6, 1,		137, 358, 394, 358, 364, 7, 1,		105, 330, 402, 330, 402, 8, 1		
23, 350, 383, 350, 383, 1, 2,		50, 494, 510, 494, 498, 2, 1,		95, 487, 612, 498, 612, 3, 2,		71, 597, 611, 597, 611, 4, 1,		142, 649, 667, 649, 667, 5, 2,		115, 330, 334, 330, 334, 6, 2,		69, 364, 380, 364, 380, 7, 1,		151, 402, 422, 402, 414, 8, 2		
75, 383, 389, 383, 389, 1, 2,		21, 498, 523, 498, 523, 2, 2,		119, 611, 624, 612, 624, 3, 2,		144, 612, 752, 612, 752, 4, 2,		202, 667, 689, 667, 689, 5, 2,		173, 334, 358, 334, 358, 6, 2,		17, 394, 400, 394, 400, 7, 2,		62, 414, 418, 414, 418, 8, 1		
2, 389, 395, 389, 395, 1, 2,		199, 510, 532, 523, 532, 2, 1,		143, 624, 649, 624, 649, 3, 2,		183, 750, 754, 752, 754, 4, 1,		175, 690, 692, 690, 692, 5, 2,		68, 358, 364, 358, 364, 6, 1,		151, 402, 422, 402, 422, 7, 2,		177, 418, 426, 418, 422, 8, 1		
